Match_ID,Blue_Team,Red_Team,Blue_Missing_Smite,Red_Missing_Smite,Blue_Win_Probability_%,Red_Win_Probability_%,Primary_Deciding_Factor,Factor_Impact
164,"Karthus, Leona, Galio, Nunu, Evelynn","Heimerdinger, Sion, Varus, Nidalee, Kled",No,No,69.71,30.29,Red Draft Strength,14.67
165,"Cassiopeia, Fiora, Kha'Zix, Lucian, Sejuani","Ornn, Irelia, Skarner, Galio, Karthus",No,No,72.55,27.45,Red Team Synergy,-21.23
166,"Orianna, Shyvana, Alistar, Hecarim, Annie","Darius, Twisted Fate, Nocturne, Janna, Heimerdinger",No,No,27.94,72.06,Blue Counter-Pick Advantage,6.52
167,"Quinn, Leona, Veigar, Pantheon, Hecarim","Lulu, Jax, Karthus, Sejuani, Kled",No,YES,69.2,30.8,Severe Tactical Spell Error,37.5
168,"Mordekaiser, Akali, Rumble, Kassadin, Volibear","Tristana, Zed, Taric, LeBlanc, Vladimir",No,No,83.18,16.82,Blue Draft Strength,-14.01
169,"Tryndamere, Malphite, Fiddlesticks, Riven, Taric","Ornn, Amumu, Blitzcrank, Ezreal, Soraka",No,No,71.71,28.29,Red Team Synergy,-10.51
170,"Tryndamere, Hecarim, Trundle, Nasus, Sion","Soraka, Olaf, Gangplank, Ekko, Twitch",No,No,60.13,39.87,Blue Draft Strength,-6.65
171,"Braum, Ziggs, Rammus, Camille, Darius","Thresh, Gangplank, Master Yi, Ezreal, Zilean",No,YES,90.79,9.21,Severe Tactical Spell Error,37.5
172,"Garen, Singed, Kog'Maw, Fiddlesticks, Malphite","Fizz, None, Rammus, Camille, Lee Sin",YES,YES,74.02,25.98,Blue Counter-Pick Advantage,-8.52
173,"Ekko, Xin Zhao, Ivern, Yorick, Leona","Katarina, Rakan, Trundle, Lissandra, Fiora",No,No,43.98,56.02,Blue Team Synergy,12.9
174,"Kassadin, Jax, Veigar, Lucian, Tahm Kench","Jarvan IV, Yorick, Fiddlesticks, Kha'Zix, Singed",No,No,23.71,76.29,Blue Team Synergy,12.03
175,"Twisted Fate, Nautilus, Jarvan IV, Braum, Renekton","Ornn, Taliyah, Udyr, Corki, Darius",YES,No,53.28,46.72,Severe Tactical Spell Error,-37.5
176,"Brand, Aatrox, Mordekaiser, Ashe, Kalista","Skarner, Draven, Volibear, Twisted Fate, Xin Zhao",No,No,19.0,81.0,Blue Draft Strength,-11.05
177,"Camille, Wukong, Fiddlesticks, Veigar, Karma","Vel'Koz, Kennen, Sivir, Singed, Nidalee",No,No,48.88,51.12,Blue Draft Strength,-14.11
178,"Jax, Cassiopeia, Hecarim, Pantheon, Nautilus","Varus, Nidalee, Tahm Kench, Twitch, Vi",No,No,84.33,15.67,Blue Counter-Pick Advantage,-9.8
179,"Taliyah, Vayne, None, Sivir, Amumu","Hecarim, Tryndamere, Swain, Fizz, Draven",No,No,20.79,79.21,Blue Draft Strength,7.83
180,"Miss Fortune, Veigar, Lucian, None, Brand","Kassadin, Annie, Malphite, Caitlyn, Tryndamere",No,No,20.52,79.48,Blue Draft Strength,8.85
181,"Fiora, Lissandra, Kled, Corki, Olaf","Anivia, Alistar, LeBlanc, Orianna, Lux",No,No,79.16,20.84,Blue Draft Strength,-15.31
182,"Jhin, Gragas, Malzahar, Kennen, LeBlanc","Zac, Xin Zhao, Tahm Kench, Renekton, Karthus",No,No,17.89,82.11,Red Draft Strength,12.02
183,"Kennen, Kha'Zix, Cho'Gath, Swain, Leona","Heimerdinger, Nocturne, Jarvan IV, Rengar, Rakan",No,No,63.81,36.19,Blue Team Synergy,-4.88
184,"Master Yi, Nasus, Shaco, Gangplank, Volibear","Swain, Tristana, Kayn, Heimerdinger, Nidalee",No,No,45.48,54.52,Blue Team Synergy,12.53
185,"Master Yi, Irelia, Ekko, Yorick, Ornn","Janna, Tahm Kench, Draven, Vayne, Veigar",No,No,23.0,77.0,Blue Counter-Pick Advantage,9.63
186,"Fiora, Jarvan IV, Lissandra, Jhin, Ryze","Leona, Singed, Zilean, Draven, Skarner",No,YES,60.46,39.54,Severe Tactical Spell Error,37.5
187,"LeBlanc, Lee Sin, Taliyah, Pantheon, Malphite","Sivir, Morgana, Aatrox, Riven, Master Yi",No,No,18.49,81.51,Blue Team Synergy,14.98
188,"Vel'Koz, Sejuani, Mordekaiser, Nami, Ezreal","Poppy, Zac, Vayne, Lissandra, Riven",No,No,81.64,18.36,Blue Counter-Pick Advantage,-10.52
189,"Tahm Kench, Irelia, Nunu, Jinx, Tristana","Aurelion Sol, Nautilus, Orianna, Thresh, Vel'Koz",No,No,57.89,42.11,Red Team Synergy,-6.67
190,"Syndra, Nocturne, Yorick, Vi, Hecarim","Rammus, Rakan, Dr. Mundo, Lucian, Darius",No,No,72.83,27.17,Blue Team Synergy,-10.38
191,"Veigar, Nasus, Gnar, Fizz, Vladimir","Hecarim, Camille, Graves, Thresh, Jinx",No,No,66.83,33.17,Blue Draft Strength,-7.01
192,"Lissandra, Orianna, Pantheon, Singed, Maokai","Anivia, Jax, Malzahar, None, Irelia",No,No,59.36,40.64,Red Draft Strength,-6.89
193,"Karma, Nautilus, Kog'Maw, Elise, Ekko","Malphite, Diana, Warwick, Skarner, Varus",No,No,37.23,62.77,Blue Draft Strength,-10.92
194,"Diana, Teemo, Zyra, Ahri, Fizz","Leona, Jarvan IV, Lissandra, Kassadin, Trundle",No,No,57.57,42.43,Red Draft Strength,8.7
195,"Aatrox, Hecarim, Volibear, Ahri, Galio","Rengar, Olaf, Dr. Mundo, Nami, Cho'Gath",No,No,22.47,77.53,Blue Counter-Pick Advantage,13.92
196,"Tryndamere, Braum, Garen, Kalista, Thresh","Ashe, Skarner, Tristana, Cassiopeia, Quinn",No,No,70.81,29.19,Blue Counter-Pick Advantage,-10.84
197,"Shaco, Lee Sin, Bard, Darius, Swain","Nautilus, Anivia, Garen, Twisted Fate, Jinx",YES,No,5.59,94.41,Severe Tactical Spell Error,-37.5
198,"Taric, Xerath, Ivern, Varus, Taliyah","Malphite, Wukong, Graves, Miss Fortune, Nidalee",No,YES,68.26,31.74,Severe Tactical Spell Error,37.5
199,"Jax, Ahri, Janna, Kog'Maw, Vladimir","Kennen, Fizz, Jinx, Morgana, Ezreal",No,No,67.9,32.1,Blue Counter-Pick Advantage,-7.95
200,"Akali, Urgot, Kayn, Janna, Shaco","Galio, Vladimir, Darius, Warwick, Leona",No,No,69.94,30.06,Red Team Tanks,-2.3
201,"Yasuo, Renekton, Gnar, Blitzcrank, Brand","Syndra, Twisted Fate, Fiora, Urgot, Volibear",No,No,63.41,36.59,Red Team Synergy,-15.34
202,"Shyvana, Wukong, Jayce, Zac, Syndra","Poppy, Leona, Shen, Singed, Sona",No,YES,84.79,15.21,Severe Tactical Spell Error,37.5
203,"Nasus, Rek'Sai, Xayah, Hecarim, Lucian","Rammus, Ekko, Tryndamere, Zac, Aurelion Sol",No,No,50.7,49.3,Blue Counter-Pick Advantage,16.18
204,"Diana, Udyr, Irelia, Cassiopeia, Renekton","Syndra, Shen, Ezreal, Jax, Pantheon",No,No,72.8,27.2,Blue Team Synergy,-9.95
205,"Lucian, Udyr, Miss Fortune, Blitzcrank, Trundle","Corki, Teemo, Draven, Kindred, Aurelion Sol",No,No,54.71,45.29,Red Team Synergy,-14.42
206,"Soraka, Ezreal, Vel'Koz, Draven, Hecarim","Olaf, Malphite, Singed, Udyr, Vi",YES,No,26.97,73.03,Severe Tactical Spell Error,-37.5
207,"Quinn, Skarner, Dr. Mundo, Tahm Kench, Nami","Kog'Maw, Jhin, Viktor, Vladimir, Kalista",No,YES,95.51,4.49,Severe Tactical Spell Error,37.5
208,"LeBlanc, Veigar, Kindred, Kog'Maw, Ezreal","Jarvan IV, Nidalee, Rakan, Sejuani, Twitch",No,No,25.12,74.88,Blue Draft Strength,-13.47
209,"Twitch, Shen, Aatrox, Varus, Zac","Swain, Garen, Jayce, Taliyah, Xerath",No,No,28.66,71.34,Red Team Synergy,5.23
210,"Poppy, Xerath, Zyra, Kennen, Corki","Trundle, Lux, Gnar, Shaco, Nidalee",No,No,69.82,30.18,Blue Draft Strength,-13.37
211,"Kalista, Kassadin, Aatrox, Rengar, Ezreal","Quinn, Pantheon, Graves, Orianna, Lucian",No,No,36.08,63.92,Blue Counter-Pick Advantage,16.77
212,"Teemo, Thresh, Ashe, Warwick, Janna","None, Kassadin, Leona, Brand, Amumu",No,YES,90.43,9.57,Severe Tactical Spell Error,37.5
213,"Elise, Miss Fortune, Annie, Garen, Lulu","Zed, Bard, Diana, Dr. Mundo, Kled",No,YES,90.04,9.96,Severe Tactical Spell Error,37.5
214,"Warwick, Pantheon, Janna, Zilean, Vayne","Irelia, Soraka, Syndra, Tristana, Wukong",No,No,46.11,53.89,Blue Draft Strength,5.38
215,"Sion, Lucian, Zyra, Katarina, Lulu","Gnar, Garen, Xerath, Illaoi, Yasuo",No,No,39.75,60.25,Blue Draft Strength,-3.75
216,"Gnar, Jhin, Viktor, Twitch, Mordekaiser","Braum, Urgot, Kindred, Ryze, Lulu",No,No,67.33,32.67,Red Team Synergy,-22.79
217,"Master Yi, Annie, Tristana, Trundle, Katarina","Thresh, Fiddlesticks, Aurelion Sol, Azir, Zac",No,No,80.81,19.19,Red Team Synergy,-12.62
218,"Sivir, Xayah, Pantheon, Warwick, Jayce","Taliyah, Malzahar, Malphite, Amumu, Syndra",No,No,56.72,43.28,Red Draft Strength,9.99
219,"Shyvana, Ryze, Lulu, Azir, Ahri","Leona, Ekko, Pantheon, Xin Zhao, Kassadin",YES,No,35.05,64.95,Severe Tactical Spell Error,-37.5
220,"Renekton, Kled, Katarina, Evelynn, Lissandra","Graves, Orianna, Irelia, Aurelion Sol, Maokai",No,No,61.27,38.73,Red Team Synergy,-10.64
221,"Jax, Ekko, Fiora, Darius, Tristana","Malphite, Karma, Olaf, Kled, Anivia",No,No,47.94,52.06,Red Draft Strength,10.46
222,"Ornn, Rengar, Shaco, Xayah, Kalista","Riven, Malphite, Syndra, Xin Zhao, Heimerdinger",No,No,26.86,73.14,Blue Team Synergy,12.16
223,"Renekton, Lucian, Lux, Evelynn, Cho'Gath","Katarina, Fiddlesticks, Udyr, Braum, Nasus",No,No,14.41,85.59,Blue Counter-Pick Advantage,9.22
224,"Jax, Hecarim, Ezreal, Kog'Maw, Zed","Shen, Nautilus, Pantheon, Kayle, Urgot",No,No,35.67,64.33,Red Draft Strength,10.8
225,"Poppy, Jhin, Singed, Braum, Gnar","Trundle, Irelia, Soraka, Graves, Tryndamere",No,No,23.14,76.86,Blue Counter-Pick Advantage,7.53
226,"Lux, Syndra, Blitzcrank, Kayn, Leona","Kha'Zix, Kalista, Vayne, Gnar, Jayce",No,No,43.64,56.36,Blue Team Supports,-2.17
227,"Nunu, Lissandra, Diana, Rek'Sai, Shaco","Poppy, Blitzcrank, Rakan, Anivia, Corki",No,No,26.75,73.25,Blue Team Synergy,17.12
228,"Janna, Syndra, Zilean, Xayah, Caitlyn","Hecarim, Cho'Gath, Ashe, Rengar, Evelynn",No,No,26.92,73.08,Red Draft Strength,8.73
229,"Heimerdinger, Alistar, Nasus, Xin Zhao, Evelynn","Taliyah, Lux, Shyvana, Jinx, Aurelion Sol",No,No,40.08,59.92,Blue Counter-Pick Advantage,12.76
230,"Rammus, Ziggs, Heimerdinger, Fizz, Poppy","Miss Fortune, None, Ryze, Karma, Talon",No,No,75.08,24.92,Blue Draft Strength,-10.69
231,"Amumu, Vi, Orianna, Trundle, Lulu","Bard, Katarina, Thresh, Sejuani, Sona",No,No,80.74,19.26,Red Team Synergy,-7.27
232,"Skarner, Sion, Darius, Ezreal, Miss Fortune","Ahri, Katarina, Camille, Udyr, Evelynn",No,No,81.8,18.2,Red Draft Strength,7.84
233,"Evelynn, Maokai, Katarina, Ziggs, Kindred","Urgot, Rakan, Galio, Pantheon, Darius",No,No,42.1,57.9,Blue Draft Strength,-8.01
234,"Rammus, Poppy, Taric, Gragas, Draven","Sejuani, Kog'Maw, Irelia, Nami, Skarner",No,No,28.29,71.71,Red Team Synergy,11.19
235,"Shyvana, Urgot, Rumble, Ahri, Dr. Mundo","Ezreal, Nocturne, Shaco, Ivern, Corki",YES,No,41.12,58.88,Severe Tactical Spell Error,-37.5
236,"Yasuo, Udyr, Janna, Cho'Gath, Galio","Volibear, Skarner, Karthus, Alistar, Bard",YES,YES,17.45,82.55,Red Draft Strength,23.45
237,"Jhin, Akali, Zilean, Teemo, Draven","Viktor, Taliyah, Jayce, Veigar, Nidalee",No,No,75.89,24.11,Red Draft Strength,16.09
238,"Veigar, Gnar, Master Yi, Xerath, Irelia","Syndra, Malzahar, Gangplank, Vel'Koz, Nidalee",No,No,83.64,16.36,Blue Counter-Pick Advantage,-11.84
239,"Rengar, Annie, Gnar, Vayne, Orianna","Brand, Kayn, Rammus, Sivir, Syndra",No,No,55.77,44.23,Red Team Synergy,-1.91
240,"Trundle, Taric, Sion, Darius, Veigar","Morgana, Maokai, Ryze, Gnar, Skarner",No,No,85.84,14.16,Blue Counter-Pick Advantage,-17.28
241,"Veigar, Yorick, Lee Sin, Jhin, Kha'Zix","Tahm Kench, Aatrox, Olaf, Tryndamere, Malzahar",No,No,35.23,64.77,Red Draft Strength,10.99
242,"Nunu, Syndra, Yorick, Jinx, Tahm Kench","Cho'Gath, Viktor, Darius, Nami, Kalista",No,No,77.39,22.61,Blue Draft Strength,-7.62
243,"Viktor, Teemo, Ornn, Vi, Nidalee","Renekton, Kha'Zix, Vayne, Rek'Sai, Gnar",YES,No,21.15,78.85,Severe Tactical Spell Error,-37.5
244,"Warwick, Lissandra, Dr. Mundo, Rumble, Tahm Kench","Kassadin, Blitzcrank, Poppy, Graves, Ornn",No,No,39.65,60.35,Red Draft Strength,20.92
245,"Vladimir, Gragas, Lissandra, Braum, Blitzcrank","Ivern, Soraka, Amumu, Swain, Kennen",No,No,15.4,84.6,Blue Team Synergy,12.05
246,"Talon, Braum, Heimerdinger, Jayce, Katarina","Lucian, Amumu, Pantheon, Graves, Jhin",No,YES,94.86,5.14,Severe Tactical Spell Error,37.5
247,"Sejuani, Miss Fortune, Gnar, Shaco, Malphite","Volibear, Rumble, Darius, Camille, Sona",No,No,42.09,57.91,Blue Counter-Pick Advantage,-5.72
248,"Lulu, Ryze, Jax, Caitlyn, Vladimir","Kled, Heimerdinger, Kassadin, Taric, Lissandra",No,YES,44.08,55.92,Severe Tactical Spell Error,37.5
249,"Miss Fortune, Ekko, Ahri, Sejuani, Jarvan IV","Zac, Fiddlesticks, Cassiopeia, Maokai, Rek'Sai",No,No,73.09,26.91,Blue Counter-Pick Advantage,-11.55
250,"Dr. Mundo, Vi, Udyr, Lucian, Aurelion Sol","Viktor, Vayne, Ziggs, Jarvan IV, Evelynn",No,No,86.24,13.76,Blue Draft Strength,-8.6
251,"Maokai, Morgana, Kindred, Sion, Sejuani","Yasuo, Ashe, Galio, Lissandra, Talon",YES,No,45.11,54.89,Severe Tactical Spell Error,-37.5
252,"Lee Sin, Thresh, Skarner, Aurelion Sol, Blitzcrank","Soraka, Pantheon, Orianna, Ahri, Urgot",No,No,42.64,57.36,Blue Team Marksmans,2.45
253,"Evelynn, Master Yi, Miss Fortune, Taliyah, Vayne","Rammus, Sejuani, Warwick, Zed, Morgana",No,No,28.12,71.88,Blue Counter-Pick Advantage,5.78
254,"Kog'Maw, Soraka, Janna, Diana, Trundle","Kayn, Darius, Quinn, Draven, Graves",YES,No,25.76,74.24,Severe Tactical Spell Error,-37.5
255,"Nami, Jarvan IV, Taric, Galio, Vladimir","Yasuo, Urgot, Swain, Annie, Vayne",No,No,31.08,68.92,Blue Team Synergy,4.16
256,"Aatrox, Shen, Lee Sin, Tahm Kench, Camille","Karthus, Xerath, Gangplank, Wukong, Yorick",No,No,11.87,88.13,Blue Counter-Pick Advantage,21.1
257,"Master Yi, Lissandra, Azir, Tristana, Kassadin","Gragas, Nocturne, Wukong, Sona, Trundle",No,No,35.11,64.89,Blue Counter-Pick Advantage,13.09
258,"Riven, Warwick, Cassiopeia, Soraka, Galio","Draven, Camille, Teemo, Evelynn, Morgana",No,No,64.55,35.45,Red Team Synergy,-8.59
259,"Riven, Kassadin, Nidalee, Nocturne, Quinn","Tahm Kench, Xayah, Pantheon, Nami, Fizz",YES,No,25.81,74.19,Severe Tactical Spell Error,-37.5
260,"Morgana, Blitzcrank, Alistar, Diana, Heimerdinger","Quinn, Gangplank, Poppy, Sejuani, Yasuo",No,No,44.79,55.21,Red Draft Strength,7.16
261,"Elise, Amumu, Soraka, Xerath, LeBlanc","Orianna, Rengar, Ekko, Annie, Kayle",No,No,30.37,69.63,Red Draft Strength,7.24
262,"Darius, Trundle, Kayn, Ekko, Karthus","Aurelion Sol, Shyvana, Kha'Zix, Nidalee, Braum",No,No,20.78,79.22,Blue Counter-Pick Advantage,7.27
263,"Shaco, Brand, Xin Zhao, Shen, Riven","Zilean, Vel'Koz, Gangplank, Talon, Jhin",No,No,67.08,32.92,Blue Counter-Pick Advantage,-4.82
264,"Trundle, Lee Sin, Nidalee, Draven, Kayle","Rengar, Renekton, Shaco, Sona, Aatrox",YES,No,10.93,89.07,Severe Tactical Spell Error,-37.5
265,"Cho'Gath, Warwick, Jax, Jarvan IV, Kog'Maw","Vayne, Shaco, Viktor, Ezreal, Maokai",No,No,75.76,24.24,Blue Counter-Pick Advantage,-8.24
266,"Varus, Galio, Elise, Orianna, Ornn","Sion, Zyra, Vi, Twitch, Vladimir",No,No,15.11,84.89,Blue Counter-Pick Advantage,20.12
267,"Quinn, Jayce, Nami, Camille, Brand","Gnar, Nidalee, Rengar, Ahri, Cho'Gath",No,No,65.51,34.49,Blue Counter-Pick Advantage,-8.98
268,"Janna, Skarner, Mordekaiser, Nocturne, Zyra","Volibear, Taric, Rek'Sai, Lux, Xin Zhao",No,No,73.96,26.04,Blue Team Synergy,-14.06
269,"Rek'Sai, Jhin, Malphite, Lissandra, Ivern","Anivia, Kennen, Graves, Zilean, Jarvan IV",No,No,42.22,57.78,Blue Draft Strength,-14.66
270,"Akali, Katarina, Sion, Renekton, Braum","Zed, Taliyah, Miss Fortune, Draven, Sejuani",No,No,59.96,40.04,Blue Draft Strength,-5.54
271,"Sejuani, Thresh, Kog'Maw, Camille, Nami","Twisted Fate, Xin Zhao, Teemo, Kha'Zix, Kindred",No,No,43.62,56.38,Red Draft Strength,4.31
272,"Mordekaiser, Trundle, Galio, Syndra, Kindred","Quinn, Zed, Lulu, Blitzcrank, Janna",No,No,29.77,70.23,Blue Draft Strength,-12.44
273,"Rammus, Lissandra, Brand, Gnar, Galio","Rek'Sai, Zilean, Azir, Volibear, Kassadin",No,No,18.7,81.3,Red Draft Strength,20.68
274,"Kalista, Lee Sin, Teemo, Ryze, Blitzcrank","Ashe, Poppy, Akali, Twitch, Zed",YES,No,24.54,75.46,Severe Tactical Spell Error,-37.5
275,"Udyr, Alistar, Xayah, Sion, Vel'Koz","Rek'Sai, Nautilus, Volibear, Taric, Cassiopeia",No,No,52.37,47.63,Red Draft Strength,13.64
276,"Diana, Dr. Mundo, Wukong, Janna, Poppy","Sejuani, Galio, Karma, Leona, Caitlyn",YES,No,53.57,46.43,Severe Tactical Spell Error,-37.5
277,"Nunu, Jinx, Vayne, Irelia, Corki","Poppy, Ezreal, Aurelion Sol, Diana, Rammus",No,YES,82.36,17.64,Severe Tactical Spell Error,37.5
278,"Azir, Trundle, Lux, Mordekaiser, Braum","Veigar, Udyr, Sona, Malphite, Nidalee",No,No,15.49,84.51,Blue Team Synergy,11.72
279,"Ivern, Fiora, Rakan, Xin Zhao, Alistar","Aatrox, Rek'Sai, Ezreal, Nami, Dr. Mundo",No,No,64.5,35.5,Blue Counter-Pick Advantage,-20.43
280,"Dr. Mundo, Bard, Renekton, Malzahar, Trundle","Nasus, Karthus, Gangplank, Brand, Karma",No,No,27.93,72.07,Red Draft Strength,11.25
281,"Xayah, Talon, Kha'Zix, Caitlyn, Nocturne","Cho'Gath, Udyr, Miss Fortune, Draven, Master Yi",No,No,38.69,61.31,Blue Counter-Pick Advantage,8.18
282,"Kindred, Dr. Mundo, Zac, Kog'Maw, Lucian","Jhin, Jinx, Xin Zhao, Ashe, Morgana",No,No,84.01,15.99,Blue Draft Strength,-10.97
283,"Zed, Galio, Vel'Koz, Braum, Rakan","Sivir, Taliyah, Lucian, Rumble, Master Yi",No,No,36.47,63.53,Blue Team Synergy,6.7
284,"None, Poppy, Kennen, Xerath, Hecarim","Ivern, Kha'Zix, Karma, Skarner, Ryze",No,No,66.82,33.18,Red Team Synergy,-19.69
285,"Fiddlesticks, Draven, Sion, None, Zed","Riven, Jhin, Dr. Mundo, Blitzcrank, Vel'Koz",No,No,35.43,64.57,Blue Draft Strength,4.33
286,"Zac, Xayah, None, Annie, Kog'Maw","Camille, Rakan, Elise, Vladimir, Orianna",No,No,56.97,43.03,Red Team Synergy,-6.27
287,"Ryze, Varus, Katarina, Kassadin, Poppy","Rek'Sai, Dr. Mundo, Nasus, Jax, Braum",No,No,21.97,78.03,Blue Counter-Pick Advantage,23.62
288,"Jayce, Master Yi, Shyvana, Rakan, Garen","Shen, Twisted Fate, Pantheon, Sejuani, Rammus",No,No,34.7,65.3,Red Team Synergy,8.48
289,"Galio, Vayne, None, Sona, Kled","Yorick, Camille, Lux, Tristana, Malphite",No,No,20.18,79.82,Blue Draft Strength,9.81
290,"Janna, Ziggs, Talon, Kalista, Poppy","Caitlyn, Mordekaiser, Sejuani, Ashe, Jinx",No,No,69.81,30.19,Red Team Synergy,-4.79
291,"Annie, Sejuani, Ashe, Fizz, Cassiopeia","Kayn, Jhin, Kassadin, Gangplank, Alistar",No,No,68.16,31.84,Blue Draft Strength,-5.25
292,"Nocturne, Caitlyn, Gragas, Malzahar, Gnar","Kog'Maw, Sion, Jhin, Shyvana, Xin Zhao",No,No,36.99,63.01,Blue Counter-Pick Advantage,7.2
293,"Pantheon, Malzahar, Jinx, Ryze, Kindred","Amumu, Anivia, Fizz, Skarner, Fiora",No,No,57.07,42.93,Blue Draft Strength,-8.94
294,"Graves, Yasuo, Tryndamere, Twisted Fate, Ivern","Maokai, Zilean, Poppy, Darius, Annie",No,No,70.18,29.82,Red Team Synergy,-8.21
295,"Xin Zhao, Zyra, Jarvan IV, Tristana, Ziggs","Twisted Fate, Corki, Varus, Diana, Galio",No,YES,94.85,5.15,Severe Tactical Spell Error,37.5
296,"Trundle, Yorick, Tahm Kench, Taric, Fiddlesticks","Jarvan IV, Heimerdinger, Caitlyn, Quinn, Teemo",No,No,64.42,35.58,Blue Draft Strength,-10.49
297,"Malzahar, Kayn, Amumu, Rakan, Vi","Kled, Anivia, Kayle, Thresh, Nasus",No,No,53.62,46.38,Blue Team Synergy,-6.03
298,"Zyra, Gragas, Lissandra, Evelynn, Irelia","Syndra, Galio, Brand, Kalista, Twisted Fate",No,No,77.55,22.45,Blue Draft Strength,-14.63
299,"Soraka, Syndra, Rakan, Rengar, Vel'Koz","Zed, Kayle, Skarner, Ahri, Kha'Zix",No,YES,76.68,23.32,Severe Tactical Spell Error,37.5
300,"Hecarim, Heimerdinger, Tryndamere, Katarina, Xayah","Zac, Annie, Sion, Wukong, Aatrox",No,No,34.73,65.27,Red Draft Strength,12.25
301,"Shyvana, Xerath, Xin Zhao, Cassiopeia, Taric","Twisted Fate, Blitzcrank, Olaf, Ryze, Ziggs",No,No,79.19,20.81,Blue Team Synergy,-18.05
302,"Elise, Miss Fortune, Nidalee, Vayne, Poppy","Lulu, Pantheon, Lucian, Gangplank, Ziggs",No,No,33.9,66.1,Blue Team Synergy,8.9
303,"Lee Sin, Poppy, Sona, Cho'Gath, Elise","Sivir, Kha'Zix, Ekko, Nasus, Hecarim",No,No,17.04,82.96,Red Team Synergy,5.76
304,"Nunu, Irelia, Skarner, Garen, Syndra","Anivia, Vladimir, Fizz, Olaf, Soraka",No,YES,89.28,10.72,Severe Tactical Spell Error,37.5
305,"Tahm Kench, Fiddlesticks, Amumu, Akali, Blitzcrank","Mordekaiser, LeBlanc, Ahri, Taliyah, Vladimir",No,No,64.11,35.89,Red Team Synergy,-14.49
306,"Vi, Nautilus, Elise, Rek'Sai, Evelynn","Wukong, Annie, Twitch, Kog'Maw, Ahri",No,No,30.27,69.73,Blue Draft Strength,-11.81
307,"Gnar, Warwick, Dr. Mundo, Mordekaiser, Kayle","Pantheon, Nautilus, Nami, Ornn, Swain",No,No,52.31,47.69,Red Draft Strength,10.32
308,"Vel'Koz, Malzahar, Rakan, Ezreal, Jayce","Caitlyn, Zyra, Nidalee, Warwick, Vayne",No,No,57.25,42.75,Blue Counter-Pick Advantage,-2.94
309,"Ryze, Lulu, Rek'Sai, Nocturne, Taric","Cho'Gath, Twisted Fate, Nunu, LeBlanc, Galio",No,No,25.58,74.42,Blue Draft Strength,-10.34
310,"Bard, Veigar, Tristana, Nocturne, Shaco","Sivir, Orianna, Azir, Yorick, Karma",No,No,70.84,29.16,Red Draft Strength,10.32
311,"Gnar, Shyvana, Zed, Lissandra, Aurelion Sol","Garen, Veigar, Draven, Taliyah, Alistar",No,No,57.6,42.4,Red Draft Strength,7.2
312,"Ekko, Heimerdinger, Blitzcrank, Taric, Twisted Fate","Urgot, Jarvan IV, Trundle, Lee Sin, Malphite",No,No,71.59,28.41,Blue Counter-Pick Advantage,-6.18
313,"Ahri, Tahm Kench, Shaco, Xerath, Gangplank","Mordekaiser, Warwick, Ivern, Fizz, Cassiopeia",No,No,64.05,35.95,Red Draft Strength,8.97
314,"Ezreal, Kog'Maw, Dr. Mundo, None, Master Yi","Soraka, Alistar, Viktor, Malphite, Kayn",No,No,29.68,70.32,Blue Draft Strength,2.95
315,"Lulu, Vel'Koz, Jinx, Quinn, Renekton","Gnar, Shen, Pantheon, Kennen, Diana",No,No,23.85,76.15,Red Draft Strength,9.47
316,"Brand, Malphite, Fizz, Lux, Kayn","Gangplank, Xin Zhao, Kayle, Irelia, Evelynn",No,No,22.32,77.68,Red Draft Strength,6.68
317,"Irelia, Malphite, Blitzcrank, Kha'Zix, Anivia","Volibear, Kled, Cho'Gath, Kennen, Urgot",No,No,35.08,64.92,Red Draft Strength,10.89
318,"Lulu, Elise, Caitlyn, Vayne, LeBlanc","Akali, Ekko, Syndra, Azir, Orianna",No,No,62.45,37.55,Red Team Synergy,-12.85
319,"Kalista, Ahri, Ashe, Quinn, Urgot","Nami, Renekton, Illaoi, Brand, Sona",No,YES,81.54,18.46,Severe Tactical Spell Error,37.5
320,"Orianna, Karthus, Xin Zhao, Warwick, Lulu","Rammus, Jax, Amumu, Zilean, Master Yi",No,No,54.73,45.27,Blue Counter-Pick Advantage,-2.88
321,"Jax, Lissandra, Fizz, Leona, Ryze","Viktor, Trundle, Vayne, Varus, Rek'Sai",No,No,38.39,61.61,Blue Draft Strength,-15.73
322,"Master Yi, Zyra, Akali, Yasuo, Malzahar","Lucian, Karthus, Jax, Malphite, Ashe",No,No,67.39,32.61,Red Team Synergy,-5.46
323,"Ivern, Draven, Karma, Ekko, Corki","Nocturne, Zed, Darius, Kayn, Vladimir",YES,No,22.51,77.49,Severe Tactical Spell Error,-37.5
324,"Braum, Leona, Galio, Caitlyn, Akali","Katarina, Ryze, Xin Zhao, Karthus, Olaf",No,No,35.34,64.66,Red Draft Strength,20.98
325,"Poppy, Xin Zhao, Annie, Maokai, Jarvan IV","Janna, Mordekaiser, Kennen, Katarina, Darius",No,No,27.51,72.49,Blue Counter-Pick Advantage,6.23
326,"Yasuo, Soraka, Master Yi, Ornn, Nautilus","Syndra, Akali, Kalista, Taliyah, Wukong",No,No,76.54,23.46,Red Team Synergy,-13.72
